CODIGO DANE,MUNICIPIO,HABITANTES
5001,Medellín,2612958
5002,Abejorral,20920
5004,Abriaquí,2820
5021,Alejandría,4845
5030,Amagá,32259
5031,Amalfi,27921
5034,Andes,45577
5036,Angelópolis,6023
5038,Angostura,11896
5040,Anorí,19704
5042,Santafé de Antioquia,27844
5044,Anzá,7393
5045,Apartadó,131754
5051,Arboletes,31462
5055,Argelia,7780
5059,Armenia,5232
5079,Barbosa,56053
5086,Belmira,6307
5088,Bello,569488
5091,Betania,10605
5093,Betulia,16392
5101,Ciudad Bolívar,27134
5107,Briceño,8373
5113,Buriticá,9934
5120,Cáceres,31309
5125,Caicedo,8802
5129,Caldas,86042
5134,Campamento,9531
5138,Cañasgordas,16037
5142,Caracolí,4673
5145,Caramanta,4793
5147,Carepa,52749
5148,El Carmen de Viboral,64546
5150,Carolina,4096
5154,Caucasia,98423
5172,Chigorodó,61714
5190,Cisneros,10246
5197,Cocorná,15296
5206,Concepción,4906
5209,Concordia,22364
5212,Copacabana,84389
5234,Dabeiba,24242
5237,Donmatías,20328
5240,Ebéjico,12512
5250,El Bagre,55525
5264,Entrerríos,12096
5266,Envigado,249800
5282,Fredonia,25526
5284,Frontino,21346
5306,Giraldo,5929
5308,Girardota,56148
5310,Gómez Plata,10230
5313,Granada,10069
5315,Guadalupe,6873
5318,Guarne,59985
5321,Guatapé,8981
5347,Heliconia,5563
5353,Hispania,5765
5360,Itagüí,299098
5361,Ituango,28656
5364,Jardín,15293
5368,Jericó,14133
5376,La Ceja,70470
5380,La Estrella,77888
5390,La Pintada,8726
5400,La Unión,23094
5411,Liborina,10405
5425,Maceo,8505
5440,Marinilla,70024
5467,Montebello,6848
5475,Murindó,5398
5480,Mutatá,14838
5483,Nariño,10257
5490,Necoclí,45503
5495,Nechí,28213
5501,Olaya,3274
5541,Peñol,22448
5543,Peque,8543
5576,Pueblorrico,9007
5579,Puerto Berrío,41983
5585,Puerto Nare,14890
5591,Puerto Triunfo,19566
5604,Remedios,30559
5607,Retiro,25534
5615,Rionegro,147484
5628,Sabanalarga,9567
5631,Sabaneta,90743
5642,Salgar,18831
5647,San Andrés de Cuerquía,7508
5649,San Carlos,16304
5652,San Francisco,6074
5656,San Jerónimo,16520
5658,San José de La Montaña,3882
5659,San Juan de Urabá,21608
5660,San Luis,13532
5664,San Pedro de Los Milagros,23603
5665,San Pedro de Urabá,33150
5667,San Rafael,16151
5670,San Roque,22271
5674,San Vicente,23170
5679,Santa Bárbara,28034
5686,Santa Rosa de Osos,39058
5690,Santo Domingo,12708
5697,El Santuario,37747
